Incident Number,Prefix,Incident Title,Incident Description,Incident Resolution,Resolution Team,Status,Status Update Date,Reported By,Institution,Institution Name,Reported Date,Location,Affected Person Department,Resolution Code,Source,Application Priority,Close Date
IN9215515,PENDING USER RESOLVE, NBS Issue: MSV Flexi and Scans payer not reflecting in the test bill,"When attempting to access the National Billing System, users enter their credentials but receive an 'Authentication Failed' error. This issue affects multiple colleagues across different departments. The expected outcome is successful login to the dashboard, but instead, users are redirected to an error page. The problem persists despite repeated attempts.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",PAYORS-CLAIMS_ALL,CLOSED,7/12/2025 0:08,USER64,TTSH,Tan Tock Seng Hospital,7/3/2025 12:13,TTSH_MC-BLK_L01_CLI1A-EYE,AO - Clinical Ops (Eye) - Clinic,NO ACTION TAKEN,EMAIL,2,7/12/2025 0:08
IN5915519,DUPLICATE, No record found in NBS for 100247033073 and able to find but no patient encounter for 100246976319,"When attempting to access the National Billing System (NBS), users enter their credentials but receive an 'Authentication Failed' error. This issue affects multiple colleagues across various departments. The expected outcome is a successful login to the dashboard, but instead, users are redirected to an error page. The problem persists despite repeated attempts.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",BILLING_ALL,CLOSED,7/17/25 12:05 AM,USER31,TTSH,Tan Tock Seng Hospital,7/3/2025 12:14,TTSH_EMER-BLK_L03_INVA-CARD-LAB,Med - Cardiology,NO ACTION TAKEN,EMAIL,1,7/17/25 12:05 AM
IN2315527,, Primary Diagnosis is Bronchiectasis but CDMP was auto proposed for pt,"When attempting to access the Cash Desk Monitoring & Handover Confirmation feature, users are unable to locate their branch in the dropdown selection. Steps to reproduce: 1) Log in to the system, 2) Navigate to Cash Desk Monitoring, 3) Click on the branch dropdown. Actual outcome: The branch list is empty or missing. Expected outcome: The dropdown should display all available branches for selection. This issue affects multiple users across different departments, causing delays in handover confirmations.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",PAYORS-CLAIMS_ALL,CLOSED,7/11/2025 0:12,USER17,TTSH,Tan Tock Seng Hospital,7/3/2025 12:20,TTSH_MC-BLK_L04_CLI4A,AO - Clinical Ops (Medicine) - Clinic,TRAINING,EMAIL,2,7/11/2025 0:12
IN4115532,PENDING USER RESOLVE, [NBS issue] Ranked MSVCD and Flexi Medisave but charged to MSVCD 100%,"When attempting to access the BS staging environment via logon at devhealthgrp.com.sg, users encounter an 'Access Denied' error after entering credentials. This issue affects multiple developers and testers. The expected outcome is a successful login to the staging environment, but instead, users are redirected to an error page. The problem persists across multiple login attempts.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",PAYORS-CLAIMS_ALL,CLOSED,7/15/25 12:09 AM,USER33,TTSH,Tan Tock Seng Hospital,7/3/2025 12:23,TTSH_MC-BLK_L03_CLI3A,AO - Clinical Ops (Medicine) - Clinic,WORK AS DESIGN,EMAIL,2,7/15/25 12:09 AM
IN1315615,PENDING USER RESOLVE - SERVICE REQUEST, Unable to add New Scheme Code(QMSVCD),"When accessing the billing system, the counter cash desk option is missing from the interface. Users expected to find the cash desk feature under the billing menu to process payments, but it is not visible. This issue affects multiple users across departments, leading to delayed payment processing. The expected outcome was easy access to the cash desk for handling transactions, but the feature is entirely absent.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",PAYORS-CLAIMS_ALL,CLOSED,7/25/25 12:02 AM,USER80,TTSH,Tan Tock Seng Hospital,7/3/2025 13:52,TTSH_MC-BLK_L02_CLI2A,AO - Clinical Ops (Surgery) - Clinic,FIXCODE,EMAIL,2,7/25/25 12:02 AM
IN7715632,DUPLICATE, Attending Clinician in PM Refs did not tally with Epic (2 cases),"Users are unable to add a central category in the Scheme Inclusion Rule. After navigating to the section, entering details, and clicking 'Add,' the system fails to save or confirm the addition, showing an error. This issue impacts multiple departments, disrupting accurate billing processes. The expected outcome was successful category addition, but the system currently prevents it, leading to delays and manual workarounds.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",BILLING_ALL,CLOSED,8/5/2025 0:01,USER19,TTSH,Tan Tock Seng Hospital,7/3/2025 14:09,TTSH_MC-BLK_L08,NUR - Acute Care,BATCHRERUN,EMAIL,3,8/5/2025 0:01
IN2115635,PENDING USER RESOLVE," 100250621272 Doctor Consult Fee not flowing to NBS since 30 June and patient's visit status in NBS shows ""planned"" even though it is ""actualised"" in EPIC","The system is experiencing slowness across all NBS apps. Steps to reproduce: 1) Log in, 2) Use any NBS application. Actual outcome: Significant delays in app responses. Expected outcome: Normal performance. This issue affects multiple users, impacting productivity and efficiency in managing billing processes.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",BILLING_ALL,CLOSED,7/16/25 12:06 AM,USER90,TTSH,Tan Tock Seng Hospital,7/3/2025 14:12,TTSH,NCID - NCID Nursing,BATCHRERUN,EMAIL,2,7/16/25 12:06 AM
IN6015691,DUPLICATE, Charges not flowing in for 26 cases from 1 & 2 July,"The system is experiencing slowness across all NBS applications. Steps to reproduce: 1) Log in, 2) Use any NBS application, 3) Perform typical actions. Actual outcome: Significant delays in app responses. Expected outcome: Normal performance. This issue affects multiple users, impacting productivity and efficiency in managing billing processes.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",BILLING_ALL,CLOSED,7/18/25 12:04 AM,USER90,TTSH,Tan Tock Seng Hospital,7/3/2025 15:04,TTSH_ATR_L06_CLI6B,AO - Clinical Ops (PEARL) - Clinic,NO ACTION TAKEN,EMAIL,2,7/18/25 12:04 AM
IN5215692,DUPLICATE, Brought to different log in page after successfully logging in from NHG page,"The system identified that IP lines cancelled on 28/06 in EPIC were not reflected in NBS under PM Reference Number 100252467115. Steps to reproduce: 1) Access EPIC, 2) Verify IP line status, 3) Cross-check in NBS. Actual outcome: Discrepancy in IP line status between systems. Expected outcome: IP line status should sync across both systems. This issue affects multiple users and causes billing inconsistencies.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",UAM_ALL,CLOSED,7/18/25 12:04 AM,USER49,TTSH,Tan Tock Seng Hospital,7/3/2025 15:05,TTSH_MC-BLK_L03_DAY-SUR-CTR,"Sur - Anaesthesio, Intsv Care & Pain Med",NO ACTION TAKEN,PHONECALL,2,7/18/25 12:04 AM
IN8215702,DUPLICATE, EPIC Return Process Not Flowing to NBS AKU2500016442F,"The system displays an error when attempting to manage billable events: 'PM Reference ID 100252303971 could not be found.' Steps to reproduce: 1) Log in, 2) Navigate to Manage Billable Events, 3) Enter or select PM Reference ID 100252303971. Actual outcome: Error message appears, and the event cannot be managed. Expected outcome: The system should retrieve and display the billable event details. This issue affects multiple users, causing delays in billing processes.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",BILLING_ALL,CLOSED,7/18/25 12:04 AM,USER32,TTSH,Tan Tock Seng Hospital,7/3/2025 15:11,TTSH_MC-BLK_B02_PHAR-LAB,"PH - Procurement, Supply & Manufacturing",NO ACTION TAKEN,EMAIL,1,7/18/25 12:04 AM
IN6815710,," Unable to fetch MCPS CSC Scheme as the fetching Status Description returned with ""No Entitlement - rec expired""","The system delayed retrieval of DS admission case CSN No. 100250781709 by 30 minutes due to batch job processing. Steps to reproduce: 1) Log in, 2) Navigate to Manage Billable Events, 3) Enter CSN No. 100250781709. Actual outcome: 30-minute delay before retrieval. Expected outcome: Immediate retrieval. This issue affects multiple users, causing delays in processing billable events.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",_NBS,CLOSED,7/11/2025 0:13,USER51,TTSH,Tan Tock Seng Hospital,7/3/2025 15:19,TTSH_MC-BLK_B01_CLIB1B,AO - Clinical Ops (PEARL) - Clinic,NO ACTION TAKEN,EMAIL,2,7/11/2025 0:13
IN2215714,EXTERNAL," MPB - Unable to fetch MCPS CSC Scheme as the fetching Status Description returned with ""No Entitlement - rec expired"". Called patient and confirmed she is a valid CSC holder.","The RCH system is experiencing slowness, impacting user operations. Steps to reproduce: 1) Log in, 2) Perform typical actions, 3) Monitor response time. Actual outcome: Delays in system responses. Expected outcome: Normal performance. This issue affects multiple users, leading to reduced productivity and efficiency in managing billing processes.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",PAYORS-CLAIMS_ALL,CLOSED,7/15/25 12:09 AM,USER57,TTSH,Tan Tock Seng Hospital,7/3/2025 15:22,TTSH_MC-BLK_B01_CLIB1B,AO - Clinical Ops (PEARL) - Clinic,NO ACTION TAKEN,EMAIL,2,7/15/25 12:09 AM
IN8715724,PENDING USER RESOLVE, NBS Issue: Unable to charge under MCPS,"The NBS system is experiencing slowness, impacting performance. Steps to reproduce: 1) Log in, 2) Use any NBS application, 3) Perform typical actions. Actual outcome: Significant delays in app responses. Expected outcome: Normal performance. This issue affects multiple users, causing delays in billing processes and reduced productivity.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",PAYORS-CLAIMS_ALL,CLOSED,7/12/2025 0:08,USER21,TTSH,Tan Tock Seng Hospital,7/3/2025 15:31,TTSH_MC-BLK_B01_CLIB1A,AO - Clinical Ops (Surgery) - Clinic,WORK AS DESIGN,EMAIL,2,7/12/2025 0:08
IN1615730,PENDING USER RESOLVE," bill presentation should be MCPS first, MSV then Self for PM Ref 100250045768","The NBS system is experiencing slowness with an error message. Steps to reproduce: 1) Log in, 2) Navigate through menus. Actual outcome: Slow response and error message. Expected outcome: Smooth operation without errors. Affects multiple users, impacting productivity.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",BILLING_ALL,CLOSED,7/17/25 12:06 AM,USER87,TTSH,Tan Tock Seng Hospital,7/3/2025 15:34,TTSH_MC-BLK_L05_CLI5B,AO - MEC Ops,NO ACTION TAKEN,EMAIL,2,7/17/25 12:06 AM
IN5415760,PENDING USER RESOLVE, Patient has balance medisave  Test bill unable to charge to medisave,"The NBS System is experiencing significant lagging with a 'Main Performance Ticket' error message. Steps to reproduce: 1) Log in, 2) Navigate to the reporting module, 3) Attempt to generate a report. Actual outcome: System freezes, and an error message appears. Expected outcome: Smooth performance without errors. This issue affects multiple users, causing delays in report generation and impacting productivity.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",PAYORS-CLAIMS_ALL,CLOSED,7/17/25 12:06 AM,USER49,TTSH,Tan Tock Seng Hospital,7/3/2025 15:52,TTSH_MC-BLK_B01_CLIB1C,AH - Physiotherapy,NO ACTION TAKEN,PHONECALL,2,7/17/25 12:06 AM
IN2515770,SERVICE REQUEST, Completed eform but scheme still displayed 0.00,"The MCPS payor code was activated but is showing $0 on the patient's bill. Users expected the system to apply the correct payment amount after activating the code, but it fails to reflect any charges. This issue affects multiple staff members who process patient bills, leading to incorrect billing and manual corrections. The expected outcome was accurate billing with the MCPS payor code applied, but the system currently displays $0, requiring further investigation.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",PAYORS-CLAIMS_ALL,INPROG,7/3/2025 17:54,USER88,TTSH,Tan Tock Seng Hospital,7/3/2025 15:57,TTSH_MC-BLK_B01_CLIB1C,AH - Physiotherapy,FIXCODE,PHONECALL,2,
IN3715775,PENDING USER RESOLVE, cannot find payor code for staff benefit,"The Fiori main page is displaying an error: 'App could not be opened because the SAP UI5 component of the application could not be loaded.' Steps to reproduce: 1) Log in to Fiori, 2) Attempt to access the application. Actual outcome: Error message appears, and the app fails to open. Expected outcome: App should open without errors. This issue affects multiple users, causing disruptions in accessing necessary tools and workflows.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",PAYORS-CLAIMS_ALL,CLOSED,7/15/25 12:09 AM,USER38,TTSH,Tan Tock Seng Hospital,7/3/2025 16:01,TTSH_MC-BLK_B01_CLIB1C,AH - Physiotherapy,NO ACTION TAKEN,PHONECALL,2,7/15/25 12:09 AM
IN4915780,PENDING USER RESOLVE, CD scheme not appearing under payor assignment,"The Cash Desk Opening Issue is causing delays in daily operations. Steps to reproduce: 1) Log in to the system, 2) Navigate to Cash Desk, 3) Click 'Open Cash Desk.' Actual outcome: System displays an error message and fails to open. Expected outcome: Cash Desk should open smoothly. This issue affects multiple users, disrupting financial operations.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",BILLING_ALL,CLOSED,7/25/25 12:02 AM,USER65,TTSH,Tan Tock Seng Hospital,7/3/2025 16:04,TTSH-OFFSITE_NCID-BLKG_L01_SPEC-OP-CLI-J,NCID - NCID Nursing,FIXCODE,EMAIL,2,7/25/25 12:02 AM
IN9815790,DUPLICATE, 3 patients missing encounters for today,"New users are unable to log in to the NBS. Steps: 1) Users attempt login with correct credentials, 2) Error message appears. Actual outcome: Access denied with an error. Expected outcome: Successful login. Issue affects multiple new users, delaying their onboarding and system access.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",BILLING_ALL,CLOSED,7/19/25 12:04 AM,USER76,TTSH,Tan Tock Seng Hospital,7/3/2025 16:19,TTSH_TB_L02_RENALUT,NUR - Ambulatory,NO ACTION TAKEN,PHONECALL,2,7/19/25 12:04 AM
IN4315795,PENDING USER RESOLVE, Payor code keep turning inactive after ranking,"New users are unable to log in to the NBS. Steps: 1) Users attempt login with correct credentials, 2) Error message appears. Actual outcome: Access denied with an error. Expected outcome: Successful login. Issue affects multiple new users, delaying their onboarding and system access.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",PAYORS-CLAIMS_ALL,CLOSED,7/12/2025 0:08,USER54,TTSH,Tan Tock Seng Hospital,7/3/2025 16:23,TTSH,NCID - NCID Nursing,NO ACTION TAKEN,EMAIL,2,7/12/2025 0:08
IN7715889,DUPLICATE, NBS Issue: Charges not flowing from Epic to NBS,"During testing, the UPOS integration failed to link with the billing system when attempting to process a payment. The issue occurs when trying to reconcile charges, and multiple users across departments are affected. The expected outcome was seamless integration and automatic linking, but instead, the system returns an error message. This issue persists across multiple attempts, preventing successful payment processing.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",BILLING_ALL,CLOSED,7/18/25 12:04 AM,USER27,TTSH,Tan Tock Seng Hospital,7/3/2025 17:43,TTSH_MC-BLK_B02_CLIB2B,AO - Clinical Ops (Surgery) - Clinic,NO ACTION TAKEN,EMAIL,2,7/18/25 12:04 AM
IN6415892,PENDING USER RESOLVE, Staff Benefit Payor code not in NBS,"During testing before the NBS go-live, users attempting to log in encountered a 'Login Failed' error after entering credentials. This issue affects multiple test users. The expected outcome was successful access to the NBS dashboard, but instead, an error message appeared. The problem persists across multiple login attempts, preventing test completion.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",PAYORS-CLAIMS_ALL,CLOSED,7/15/25 12:10 AM,USER92,TTSH,Tan Tock Seng Hospital,7/3/2025 17:45,TTSH,AH - Physiotherapy,NO ACTION TAKEN,EMAIL,2,7/15/25 12:10 AM
IN2915899,PENDING USER RESOLVE, Gross amount in ED R10 is not correct and missing charges - CLA,"Cases are not flowing to the uncoded casemix and Mediclaim account WQ. Steps to reproduce: 1) Log in, 2) Navigate to case management, 3) Attempt to transfer cases. Actual outcome: Cases remain uncoded, and an error message appears. Expected outcome: Cases should automatically flow to the correct accounts. This issue affects multiple users, causing delays in processing and reporting.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",REPORTS_ALL,CLOSED,7/16/25 12:07 AM,USER20,TTSH,Tan Tock Seng Hospital,7/3/2025 17:51,TTSH,,DATA ALTERED,EMAIL,2,7/16/25 12:07 AM
IN7815914,PENDING USER RESOLVE, NNI Cancer MSV did not reflect in invoice V2,"At EDX computers 19A and 19B, the UPOS command bridge is not connected, causing payment processing issues. Users attempted to process transactions but received connection error messages. The expected outcome was successful transaction processing via UPOS, but the system failed. This issue affects all users at these workstations, leading to transaction failures and manual workarounds.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",PAYORS-CLAIMS_ALL,CLOSED,7/12/2025 0:09,USER28,TTSH,Tan Tock Seng Hospital,7/3/2025 18:08,TTSH_NNIBLK_B01_NEURO-RAD,,NO ACTION TAKEN,EMAIL,1,7/12/2025 0:09
IN9815966,DUPLICATE, MCAF(S) EFORM NOT CAPTURED CORRECTLY IN PAYOR ASSIGNMENT - AKN2500003367D - 100252244077 / 100252236266,"At counter 10, the cash desk cannot be opened, preventing access to payment processing. Users expected the system to open the cash desk upon login, but it fails to initialize. This issue affects all staff at counter 10, leading to delays in handling patient payments. The expected outcome was smooth access to the cash desk, but the system currently does not respond, requiring manual intervention.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",PAYORS-CLAIMS_ALL,CLOSED,8/1/2025 0:01,USER49,TTSH,Tan Tock Seng Hospital,7/3/2025 21:00,TTSH_MB_L01_BIZ-OFC,Fin - Business Office,NO ACTION TAKEN,EMAIL,2,8/1/2025 0:01
IN7616150,PENDING USER RESOLVE, Query on Double MSH Proposal in payor assignment for bill AKU2500029730D,"When verifying mcaf-m in NBS, the system confirms the entry, but it does not appear in the interim bill. Steps to reproduce include navigating to the billing section, verifying mcaf-m, and checking the interim bill. The issue affects multiple users in the billing department, causing delays. The expected outcome is for verified mcaf-m to reflect in the interim bill, but it remains missing, leading to incomplete billing information.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",PAYORS-CLAIMS_ALL,CLOSED,7/22/25 12:04 AM,USER70,TTSH,Tan Tock Seng Hospital,7/4/2025 9:50,TTSH_MC-BLK_B02_OP-PHA,PH - Pharmacy Practice,WORK AS DESIGN,EMAIL,2,7/22/25 12:04 AM
IN4216245,PENDING USER RESOLVE, Error message occurred during handover of cash desk - unable to handover,"When attempting to tag the GPfirst insurance code [SR] in the billing system, an error message appears stating 'Tagging Failed.' The issue occurs when selecting the insurance code from the dropdown menu and clicking 'Apply.' The expected outcome is the code being successfully tagged and saved, but instead, the system returns an error. This issue affects multiple users and prevents accurate insurance billing.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",FINANCE-COLLECTION_ALL,CLOSED,7/15/25 12:10 AM,USER99,TTSH,Tan Tock Seng Hospital,7/4/2025 10:57,TTSH_EMER-BLK_B01_ED,PSO - Patient Service Centre,NO ACTION TAKEN,EMAIL,3,7/15/25 12:10 AM
IN7716264,PENDING USER DECISION, Medishield's Amount is not reflected in CCF upon payors verified in NBS,"When attempting to switch between patient records in the NBS system, the context switch feature becomes unresponsive. Users have reported that after selecting a different patient or billing screen, the system freezes or fails to load the new context. The issue affects multiple users across different departments, leading to delays in processing billing requests. The expected outcome is seamless navigation between records, but the actual result is a system hang requiring manual restart.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",PAYORS-CLAIMS_ALL,CLOSED,7/16/25 12:07 AM,USER79,TTSH,Tan Tock Seng Hospital,7/4/2025 11:11,TTSH_ICH_L02_ICH PSO,PSO - Patient Service Centre,NO ACTION TAKEN,EMAIL,2,7/16/25 12:07 AM
IN7816267,PENDING USER DECISION, MSV Flex proposed to 44y-o patient; MSV 500/700 proposed before Immuno,"When attempting to sign forms in eFORM through NBS, an error message is displayed, preventing successful form submission. The issue occurs after selecting 'Submit' following form completion. Multiple users across departments have encountered this problem. The expected outcome is a confirmation of form submission, but the actual result is an error message, causing delays in form processing.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",PAYORS-CLAIMS_ALL,CLOSED,7/15/25 12:10 AM,USER16,TTSH,Tan Tock Seng Hospital,7/4/2025 11:13,TTSH_MC-BLK_B02_OP-PHA,PH - Pharmacy Practice,NO ACTION TAKEN,EMAIL,2,7/15/25 12:10 AM
IN7816286,DUPLICATE, EMAIL -Unable to generate ETBS in eFC (encounter no.100252796139),"When attempting to retrieve the R005 Charge Interface Error Report, users have noticed that the report is being generated and sent outside of the expected timeframe. The issue affects multiple departments relying on timely report availability. The expected outcome is to receive the report during designated business hours, but it is currently being sent at inconvenient times, causing delays in addressing charge interface errors.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",INTERFACE_ALL,CLOSED,8/5/2025 0:01,USER68,TTSH,Tan Tock Seng Hospital,7/4/2025 11:23,TTSH,PSO - Patient Service Centre,FIXPROGRAM,EMAIL,3,8/5/2025 0:01
IN4916289,PENDING USER RESOLVE - SERVICE REQUEST, Inpatient EPIC charges not appearing in NBS,"When attempting to retrieve billable events using CSN Nos. 100224307872, 100246462562, 100249238046, and 100250618992 in Manage Billable Events, the system fails to display the events. Steps: 1) Log in, 2) Navigate to Manage Billable Events, 3) Enter CSN numbers, 4) Click search. Actual outcome: Events not shown; error message appears. Expected outcome: Events should display with details. Issue affects multiple users, causing reporting delays.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",BILLING_ALL,CLOSED,7/15/25 12:10 AM,USER81,NNI,National Neuroscience Institute,7/4/2025 11:28,NNI_NNIBLK_L02_NEURO-DIA-LAB,Neurodiagnostic Laboratory,DATA ALTERED,EMAIL,1,7/15/25 12:10 AM
IN3116322,PENDING USER RESOLVE, Close Cash Desk reflected two rows of Net collection,"When attempting to process transactions at ED Counter 10, the UPOS command bridge was found not set up for both workstations. Users expected the system to automatically connect to the UPOS bridge for payment processing, but the connection is missing. This issue affects multiple users at the counter, leading to failed transactions. The expected outcome was seamless integration, but the system currently cannot process payments due to the missing setup.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",FINANCE-COLLECTION_ALL,CLOSED,7/18/25 12:04 AM,USER11,TTSH,Tan Tock Seng Hospital,7/4/2025 11:58,TTSH_EMER-BLK_B01_ED,Amb - Emergency Medicine,DATA ALTERED,EMAIL,2,7/18/25 12:04 AM
IN2616323,PENDING USER DECISION, Prolia Injection didn't flow under CDMP AKU2500020407F,"When attempting to process transactions at counter 10, the UPOS integration is missing, preventing payment processing. Users expected the system to connect to UPOS for transactions, but the integration is not set up. This issue affects all staff at counter 10, requiring manual workarounds. The expected outcome was seamless payment processing via UPOS, but the system currently lacks this functionality, causing delays.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",PAYORS-CLAIMS_ALL,CLOSED,7/14/25 12:00 AM,USER20,TTSH,Tan Tock Seng Hospital,7/4/2025 11:59,TTSH_MC-BLK_B01_CLIB1A,AO - Clinical Ops (Surgery) - Clinic,DATA ALTERED,EMAIL,2,7/14/25 12:00 AM
IN6716333,," Blood taking service (ONS03213), does not drop to payor codes","When attempting to log into the NBS system using ADID credentials, users receive an 'Authentication Failed' error despite entering correct login details. The issue specifically affects ADID users, while other user groups can log in without problems. The expected outcome is successful login, but the actual result is an error message. This disrupts access to billing functions for affected users.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",PAYORS-CLAIMS_ALL,CLOSED,7/12/2025 0:12,USER74,TTSH,Tan Tock Seng Hospital,7/4/2025 12:08,TTSH_MC-BLK_L04_CLI4B,AO - Clinical Ops (PEARL) - Clinic,WORK AS DESIGN,EMAIL,2,7/12/2025 0:12
